Player;2;3;4;5;6;7;8;9;10;11
21;Stand;Stand;Stand;Stand;Stand;Stand;Stand;Stand;Stand;Stand
20;Stand;Stand;Stand;Stand;Stand;Stand;Stand;Stand;Stand;Stand
19;Stand;Stand;Stand;Stand;Stand;Stand;Stand;Stand;Stand;Stand
18;Stand;Stand;Stand;Stand;Stand;Stand;Stand;Stand;Stand;Stand
17;Stand;Stand;Stand;Stand;Stand;Stand;Stand;Stand;Stand;Stand
16;Stand;Stand;Stand;Stand;Stand;Hit;Hit;Stand;Stand;Hit
15;Stand;Stand;Stand;Stand;Stand;Hit;Hit;Hit;Stand;Hit
14;Stand;Stand;Stand;Stand;Stand;Hit;Hit;Hit;Hit;Hit
13;Stand;Stand;Stand;Stand;Stand;Hit;Hit;Hit;Hit;Hit
12;Hit;Hit;Stand;Stand;Stand;Hit;Hit;Hit;Hit;Hit
11;Double;Double;Double;Double;Double;Double;Double;Double;Double;Hit
10;Double;Double;Double;Double;Double;Double;Double;Double;Hit;Hit
9;Hit;Double;Double;Double;Double;Hit;Hit;Hit;Hit;Hit
8;Hit;Hit;Hit;Hit;Hit;Hit;Hit;Hit;Hit;Hit
7;Hit;Hit;Hit;Hit;Hit;Hit;Hit;Hit;Hit;Hit
6;Hit;Hit;Hit;Hit;Hit;Hit;Hit;Hit;Hit;Hit
5;Hit;Hit;Hit;Hit;Hit;Hit;Hit;Hit;Hit;Hit
4;Hit;Hit;Hit;Hit;Hit;Hit;Hit;Hit;Hit;Hit
3;Hit;Hit;Hit;Hit;Hit;Hit;Hit;Hit;Hit;Hit
2;Hit;Hit;Hit;Hit;Hit;Hit;Hit;Hit;Hit;Hit
A10;Stand;Stand;Stand;Stand;Stand;Stand;Stand;Stand;Stand;Stand
A9;Stand;Stand;Stand;Stand;Stand;Stand;Stand;Stand;Stand;Stand
A8;Stand;Stand;Stand;Stand;Stand;Stand;Stand;Stand;Stand;Stand
A7;Stand;Double;Double;Double;Double;Stand;Stand;Hit;Hit;Hit
A6;Hit;Double;Double;Double;Double;Hit;Hit;Hit;Hit;Hit
A5;Hit;Hit;Double;Double;Double;Hit;Hit;Hit;Hit;Hit
A4;Hit;Hit;Double;Double;Double;Hit;Hit;Hit;Hit;Hit
A3;Hit;Hit;Hit;Double;Double;Hit;Hit;Hit;Hit;Hit
A2;Hit;Hit;Hit;Double;Double;Hit;Hit;Hit;Hit;Hit
1111;Split;Split;Split;Split;Split;Split;Split;Split;Split;Split
1010;Stand;Stand;Stand;Stand;Stand;Stand;Stand;Stand;Stand;Stand
99;Split;Split;Split;Split;Split;Stand;Split;Split;Stand;Stand
88;Split;Split;Split;Split;Split;Split;Split;Split;Split;Split
77;Split;Split;Split;Split;Split;Split;Hit;Hit;Hit;Hit
66;Split;Split;Split;Split;Split;Hit;Hit;Hit;Hit;Hit
55;Double;Double;Double;Double;Double;Double;Double;Double;Hit;Hit
44;Hit;Hit;Hit;Split;Split;Hit;Hit;Hit;Hit;Hit
33;Split;Split;Split;Split;Split;Split;Hit;Hit;Hit;Hit
22;Split;Split;Split;Split;Split;Split;Hit;Hit;Hit;Hit